GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.collectables,SpeedOrb,25,14,0,0,7,5,4,1,4,1
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.collectables,Collectables,0,5,0,0,0,2,0,1,0,1
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.collectables,OrbFactory,3,28,0,4,1,5,1,4,1,1
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.collectables,EnergyOrb,18,11,0,0,6,4,4,1,4,1
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.collectables,HealthOrb,18,11,0,0,6,4,4,1,4,1
Soul Knight,pt.feup.tvvs.soulknight.gui,GUI.ACTION,0,63,0,0,0,1,0,1,0,1
Soul Knight,pt.feup.tvvs.soulknight.gui,LanternaScreenGenerator,121,0,2,0,27,0,8,0,7,0
Soul Knight,pt.feup.tvvs.soulknight.gui,BufferedImageGUI,0,146,0,8,0,31,0,18,0,14
Soul Knight,pt.feup.tvvs.soulknight.gui,LanternaGUI.new KeyAdapter() {...},0,48,0,4,0,9,0,5,0,3
Soul Knight,pt.feup.tvvs.soulknight.gui,LanternaGUI,34,235,1,21,7,66,5,30,4,16
Soul Knight,pt.feup.tvvs.soulknight.gui,RescalableGUI.ResolutionScale,6,22,0,0,2,6,2,2,2,2
Soul Knight,pt.feup.tvvs.soulknight.view.text,GameTextViewer,10,191,2,16,2,36,2,14,0,7
Soul Knight,pt.feup.tvvs.soulknight.view.text,GameTextViewer.CharPosition,0,15,0,0,0,6,0,3,0,3
Soul Knight,pt.feup.tvvs.soulknight.view.elements.tile,TileViewer,20,35,0,0,3,6,1,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.view.menu,LogoViewer,7,8,0,0,2,3,1,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.view.menu,ParticleViewer,13,3,0,0,2,1,1,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.view.menu,OptionViewer,84,6,10,0,20,3,9,1,2,1
Soul Knight,pt.feup.tvvs.soulknight.view.elements.collectables,OrbViewer,29,35,2,0,5,6,2,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.tile,Tile,3,8,0,0,1,3,1,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.view.elements.monsters,MonsterViewer,129,53,8,2,19,9,7,2,3,1
Soul Knight,pt.feup.tvvs.soulknight.controller.credits,CreditsController,0,18,0,2,0,5,0,3,0,2
Soul Knight,pt.feup.tvvs.soulknight.view.sprites,Sprite,75,17,7,1,13,6,8,2,4,2
Soul Knight,pt.feup.tvvs.soulknight.view.sprites,GameSpriteLoader,28,0,2,0,6,0,3,0,2,0
Soul Knight,pt.feup.tvvs.soulknight.view.sprites,ViewerProvider,27,74,0,0,9,15,9,3,9,3
Soul Knight,pt.feup.tvvs.soulknight.model.game.scene,SceneLoader,0,707,0,76,0,106,0,53,0,15
Soul Knight,pt.feup.tvvs.soulknight.model.game.scene,Scene,0,583,0,36,0,106,0,62,0,44
Soul Knight,pt.feup.tvvs.soulknight.state,CreditsState,20,0,0,0,4,0,3,0,3,0
Soul Knight,pt.feup.tvvs.soulknight.state,GameState,38,0,0,0,5,0,3,0,3,0
Soul Knight,pt.feup.tvvs.soulknight.state,MainMenuState,0,32,0,0,0,7,0,3,0,3
Soul Knight,pt.feup.tvvs.soulknight.state,SettingsMenuState,32,0,0,0,7,0,3,0,3,0
Soul Knight,pt.feup.tvvs.soulknight.state,State,15,21,0,0,4,6,1,2,1,2
Soul Knight,pt.feup.tvvs.soulknight.sound,MenuSoundPlayer,29,0,0,0,12,0,5,0,5,0
Soul Knight,pt.feup.tvvs.soulknight.sound,SoundLoader,14,0,0,0,5,0,2,0,2,0
Soul Knight,pt.feup.tvvs.soulknight.model.dataStructs,Vector,3,41,3,5,0,10,3,5,0,4
Soul Knight,pt.feup.tvvs.soulknight.model.dataStructs,PairList,6,9,0,0,2,4,2,1,2,1
Soul Knight,pt.feup.tvvs.soulknight.model.dataStructs,Position,3,81,3,5,0,14,3,9,0,8
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.rocks,Rock,3,8,0,0,1,3,1,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.knight,MaxVelocityState,0,161,0,12,0,32,0,11,0,5
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.knight,WalkingState,0,178,0,14,0,35,0,13,0,6
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.knight,IdleState,0,156,0,12,0,32,0,11,0,5
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.knight,JumpState,0,202,0,16,0,36,0,13,0,5
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.knight,KnightState,0,288,0,24,0,43,0,23,0,11
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.knight,RunningState,0,175,0,14,0,36,0,13,0,6
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.knight,RespawnState,38,64,2,2,8,15,2,5,0,5
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.knight,FallingState,0,221,2,20,0,39,2,14,0,5
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.knight,DashState,47,35,2,4,10,7,5,3,3,2
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.knight,DamagedState,7,188,0,14,2,33,2,12,2,5
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.knight,AfterDashState,37,23,1,3,7,6,4,3,3,2
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.knight,Knight,0,777,0,18,0,150,0,57,0,48
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements,Element,0,19,0,0,0,6,0,3,0,3
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements,Tree,3,8,0,0,1,3,1,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements,Spike,3,8,0,0,1,3,1,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.view.elements.rocks,RockViewer,29,26,2,0,5,5,2,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.view.states,ScreenViewer,0,9,0,0,0,4,0,2,0,2
Soul Knight,pt.feup.tvvs.soulknight.view.states,PlayerStatsViewer,3,44,0,0,1,9,1,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.view.states,MenuViewer,4,425,4,36,0,70,4,22,0,6
Soul Knight,pt.feup.tvvs.soulknight.view.states,CreditsViewer,0,469,0,12,0,69,0,15,0,9
Soul Knight,pt.feup.tvvs.soulknight.view.states,GameViewer,0,635,0,22,0,86,0,19,0,8
Soul Knight,pt.feup.tvvs.soulknight.controller,Controller,0,9,0,0,0,4,0,2,0,2
Soul Knight,pt.feup.tvvs.soulknight.controller.game,ParticleController,0,140,0,10,0,23,0,7,0,2
Soul Knight,pt.feup.tvvs.soulknight.controller.game,SceneController,119,13,8,0,18,5,5,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.controller.game,PlayerController,0,75,0,8,0,23,0,8,0,2
Soul Knight,pt.feup.tvvs.soulknight.controller.game,EnemieController,41,0,4,0,10,0,4,0,2,0
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.enemies,PurpleMonster,0,142,1,7,0,20,1,8,0,5
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.enemies,MonsterFactory,3,49,0,4,1,5,1,4,1,1
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.enemies,SwordMonster,0,142,1,7,0,20,1,8,0,5
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.enemies,Enemies,6,31,0,0,2,10,2,4,2,4
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.enemies,GhostMonster,0,149,0,8,0,27,0,12,0,8
Soul Knight,pt.feup.tvvs.soulknight.model.menu,MainMenu,0,103,0,2,0,16,0,4,0,3
Soul Knight,pt.feup.tvvs.soulknight.model.menu,SettingsMenu,0,97,0,2,0,17,0,4,0,3
Soul Knight,pt.feup.tvvs.soulknight.model.menu,Option.Type,0,33,0,0,0,1,0,1,0,1
Soul Knight,pt.feup.tvvs.soulknight.model.menu,Option,0,21,0,0,0,6,0,3,0,3
Soul Knight,pt.feup.tvvs.soulknight.model.menu,Particle,21,9,0,0,9,4,6,1,6,1
Soul Knight,pt.feup.tvvs.soulknight.model.menu,Menu,72,27,6,0,16,9,14,2,11,2
Soul Knight,pt.feup.tvvs.soulknight.controller.menu,OptionController,31,114,3,25,3,27,3,17,0,4
Soul Knight,pt.feup.tvvs.soulknight.controller.menu,MainMenuController,4,6,0,0,2,2,1,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.controller.menu,ParticleMenuController,6,299,1,25,2,61,3,20,2,6
Soul Knight,pt.feup.tvvs.soulknight.controller.menu,MenuController,32,10,4,0,10,4,4,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.controller.menu,SettingsMenuController,17,0,0,0,4,0,2,0,2,0
Soul Knight,pt.feup.tvvs.soulknight.view.elements.tree,TreeViewer,20,26,0,0,3,5,1,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.particle,DoubleJumpParticle,62,7,0,0,9,2,2,1,2,1
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.particle,JumpParticle,49,7,0,0,10,2,2,1,2,1
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.particle,RespawnParticle,0,211,0,22,0,38,0,14,0,3
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.particle,RainParticle,2,68,0,8,1,15,1,6,1,2
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.particle,DashParticle,49,7,0,0,10,2,2,1,2,1
Soul Knight,pt.feup.tvvs.soulknight.model.game.elements.particle,Particle,14,33,0,0,6,13,4,6,4,6
Soul Knight,pt.feup.tvvs.soulknight.state.particle,CalmState,25,8,0,0,3,2,1,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.state.particle,WindyState,35,3,0,0,5,1,1,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.state.particle,ZicoState,13,3,0,0,1,1,1,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.state.particle,RandomState,31,8,0,0,3,2,1,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.state.particle,DispersingState,53,8,0,0,7,2,1,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.model.credits,Credits,97,0,0,0,28,0,10,0,10,0
Soul Knight,pt.feup.tvvs.soulknight.view.elements.spike,SpikeViewer,20,35,0,0,3,6,1,1,1,1
Soul Knight,pt.feup.tvvs.soulknight.view.elements.knight,KnightViewer,56,113,8,2,13,16,6,2,2,1
Soul Knight,pt.feup.tvvs.soulknight.view.elements.particle,ParticleViewer,52,3,0,0,11,1,1,1,1,1
Soul Knight,pt.feup.tvvs.soulknight,Game,103,81,0,8,26,24,8,5,8,1
Soul Knight,pt.feup.tvvs.soulknight.view.elements.knight.knightStates,StateAnimation,44,21,4,0,8,10,6,4,4,4
Soul Knight,pt.feup.tvvs.soulknight.view.elements.knight.knightStates,FallingAnimation,0,52,0,2,0,11,0,3,0,2
Soul Knight,pt.feup.tvvs.soulknight.view.elements.knight.knightStates,RunningAnimation,0,52,0,2,0,11,0,3,0,2
Soul Knight,pt.feup.tvvs.soulknight.view.elements.knight.knightStates,WalkingAnimation,0,52,0,2,0,11,0,3,0,2
Soul Knight,pt.feup.tvvs.soulknight.view.elements.knight.knightStates,AfterDashAnimation,0,52,0,2,0,11,0,3,0,2
Soul Knight,pt.feup.tvvs.soulknight.view.elements.knight.knightStates,DamagedAnimation,0,52,0,2,0,11,0,3,0,2
Soul Knight,pt.feup.tvvs.soulknight.view.elements.knight.knightStates,RespawnAnimation,0,19,0,0,0,6,0,2,0,2
Soul Knight,pt.feup.tvvs.soulknight.view.elements.knight.knightStates,MaxVelocityAnimation,0,52,0,2,0,11,0,3,0,2
Soul Knight,pt.feup.tvvs.soulknight.view.elements.knight.knightStates,IdleAnimation,0,52,0,2,0,11,0,3,0,2
Soul Knight,pt.feup.tvvs.soulknight.view.elements.knight.knightStates,JumpAnimation,0,52,0,2,0,11,0,3,0,2
Soul Knight,pt.feup.tvvs.soulknight.view.elements.knight.knightStates,DashAnimation,0,52,0,2,0,11,0,3,0,2
