App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
SoulKnight,BlackBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\BlackBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\controller\menu\ParticleMenuController.java,,,17,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false
SoulKnight,BlackBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\BlackBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\gui\BufferedImageGUI.java,,,17,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false
SoulKnight,PBTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\PBTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\dataStructs\Position.java,,,8,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
SoulKnight,KnightStateWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\KnightStateWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\knight\KnightState.java,,,19,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false
SoulKnight,KnightStateMutationTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\KnightStateMutationTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\knight\KnightState.java,,,9,true,false,false,false,false,false,true,false,false,false,false,false,false,true,false,true,false,false,false,true,false
SoulKnight,KnightWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\KnightWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\knight\Knight.java,,,42,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false
SoulKnight,JumpStateWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\JumpStateWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\knight\JumpState.java,,,12,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false
SoulKnight,FallingStateWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\FallingStateWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\knight\FallingState.java,,,12,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false
SoulKnight,IdleStateWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\IdleStateWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\knight\IdleState.java,,,10,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,true,false
SoulKnight,WalkingStateWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\WalkingStateWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\knight\WalkingState.java,,,11,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,true,false
SoulKnight,RunningStateWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\RunningStateWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\knight\RunningState.java,,,11,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,true,false
SoulKnight,MaxVelocityStateWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\MaxVelocityStateWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\knight\MaxVelocityState.java,,,10,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,true,false
SoulKnight,DamagedStateWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\DamagedStateWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\knight\DamagedState.java,,,12,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,true,true,false,false,true,false
SoulKnight,RespawnParticleWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\RespawnParticleWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\particle\RespawnParticle.java,,,12,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,true,false
SoulKnight,RainParticleWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\RainParticleWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\model\game\elements\particle\RainParticle.java,,,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false
SoulKnight,ParticleControllerWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\ParticleControllerWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\controller\game\ParticleController.java,,,3,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
SoulKnight,PlayerControllerWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\PlayerControllerWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\controller\game\PlayerController.java,,,7,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,false,true,false,false,true,false
SoulKnight,SceneControllerWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\SceneControllerWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\controller\game\SceneController.java,,,4,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
SoulKnight,OptionViewerWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\test\java\pt\feup\tvvs\soulknight\OptionViewerWhiteBoxTests.java,D:\UNIVERSIDADE\5thYear\TVVS\01-HollowKnight\src\main\java\pt\feup\tvvs\soulknight\view\menu\OptionViewer.java,,,7,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
